locality_code,county_name,gross_general_sales,worksheet_index
51001,Accomack,10,0
51003,Albemarle,10,1
51510,Alexandria,10,2
51005,Alleghany,10,3
51007,Amelia,10,4
51009,Amherst,10,5
51011,Appomattox,10,6
51013,Arlington,10,7
51015,Augusta,10,8
51017,Bath,10,9
51019,Bedford County,10,10
51021,Bland,10,11
51023,Botetourt,10,12
51520,Bristol,10,13
51025,Brunswick,10,14
51027,Buchanan,10,15
51029,Buckingham,10,16
51530,Buena Vista,10,17
51031,Campbell,10,18
51033,Caroline,10,19
51035,Carroll,10,20
51036,Charles City,10,21
51037,Charlotte,10,22
51540,Charlottesville,10,23
51550,Chesapeake,10,24
51041,Chesterfield,10,25
51043,Clarke,10,26
51560,Clifton Forge,10,27
51570,Colonial Heights,10,28
51580,Covington,10,29
51045,Craig,10,30
51047,Culpeper,10,31
51049,Cumberland,10,32
51590,Danville,10,33
51051,Dickenson,10,34
51053,Dinwiddie,10,35
51595,Emporia,10,36
51057,Essex,10,37
51600,Fairfax City,10,38
51059,Fairfax County,10,39
51610,Falls Church,10,40
51061,Fauquier,10,41
51063,Floyd,10,42
51065,Fluvanna,10,43
51620,Franklin City,10,44
51067,Franklin County,10,45
51069,Frederick,10,46
51630,Fredericksburg,10,47
51640,Galax,10,48
51071,Giles,10,49
51073,Gloucester,10,50
51075,Goochland,10,51
51077,Grayson,10,52
51079,Greene,10,53
51081,Greensville,10,54
51083,Halifax,10,55
51650,Hampton,10,56
51085,Hanover,10,57
51660,Harrisonburg,10,58
51087,Henrico,10,59
51089,Henry,10,60
51091,Highland,10,61
51670,Hopewell,10,62
51093,Isle Of Wight,10,63
51095,James City,10,64
51097,King And Queen,10,65
51099,King George,10,66
51101,King William,10,67
51103,Lancaster,10,68
51105,Lee,10,69
51678,Lexington,10,70
51107,Loudoun,10,71
51109,Louisa,10,72
51111,Lunenburg,10,73
51680,Lynchburg,10,74
51113,Madison,10,75
51683,Manassas,10,76
51685,Manassas Park,10,77
51690,Martinsville,10,78
51115,Mathews,10,79
51117,Mecklenburg,10,80
51119,Middlesex,10,81
51121,Montgomery,10,82
51125,Nelson,10,83
51127,New Kent,10,84
51700,Newport News,10,85
51710,Norfolk,10,86
51131,Northampton,10,87
51133,Northumberland,10,88
51720,Norton,10,89
51135,Nottoway,10,90
51137,Orange,10,91
51139,Page,10,92
51141,Patrick,10,93
51730,Petersburg,10,94
51143,Pittsylvania,10,95
51735,Poquoson,10,96
51740,Portsmouth,10,97
51145,Powhatan,10,98
51147,Prince Edward,10,99
51149,Prince George,10,100
51153,Prince William,10,101
51155,Pulaski,10,102
51750,Radford,10,103
51157,Rappahannock,10,104
51760,Richmond City,10,105
51159,Richmond County,10,106
51770,Roanoke City,10,107
51161,Roanoke County,10,108
51163,Rockbridge,10,109
51165,Rockingham,10,110
51167,Russell,10,111
51775,Salem,10,112
51169,Scott,10,113
51171,Shenandoah,10,114
51173,Smyth,10,115
51175,Southampton,10,116
51177,Spotsylvania,10,117
51179,Stafford,10,118
51790,Staunton,10,119
51800,Suffolk,10,120
51181,Surry,10,121
51183,Sussex,10,122
51185,Tazewell,10,123
51810,Virginia Beach,10,124
51187,Warren,10,125
51191,Washington,10,126
51820,Waynesboro,10,127
51193,Westmoreland,10,128
51830,Williamsburg,10,129
51840,Winchester,10,130
51195,Wise,10,131
51197,Wythe,10,132
51199,York,10,133